xml-retrieval-1.html,"Evaluation of XML retrieval",evaluation-of-xml-retrieval-1.html
xml-retrieval-1.html,"Text-centric vs. data-centric XML retrieval",text-centric-vs-data-centric-xml-retrieval-1.html
xml-retrieval-1.html,"References and further reading",references-and-further-reading-10.html
xml-retrieval-1.html,Exercises,exercises-1.html
-,"Probabilistic information retrieval",probabilistic-information-retrieval-1.html
probabilistic-information-retrieval-1.html,"Review of basic probability theory",review-of-basic-probability-theory-1.html
-,"The Probability Ranking Principle",the-probability-ranking-principle-1.html
the-probability-ranking-principle-1.html,"The 1/0 loss case",the-10-loss-case-1.html
the-probability-ranking-principle-1.html,"The PRP with retrieval costs",the-prp-with-retrieval-costs-1.html
-,"The Binary Independence Model",the-binary-independence-model-1.html
the-binary-independence-model-1.html,"Deriving a ranking function for query terms",deriving-a-ranking-function-for-query-terms-1.html
the-binary-independence-model-1.html,"Probability estimates in theory",probability-estimates-in-theory-1.html
the-binary-independence-model-1.html,"Probability estimates in practice",probability-estimates-in-practice-1.html
the-binary-independence-model-1.html,"Probabilistic approaches to relevance feedback",probabilistic-approaches-to-relevance-feedback-1.html
-,"An appraisal and some extensions",an-appraisal-and-some-extensions-1.html
an-appraisal-and-some-extensions-1.html,"An appraisal of probabilistic models",an-appraisal-of-probabilistic-models-1.html
an-appraisal-and-some-extensions-1.html,"Tree-structured dependencies between terms",tree-structured-dependencies-between-terms-1.html
an-appraisal-and-some-extensions-1.html,"Okapi BM25: a non-binary model",okapi-bm25-a-non-binary-model-1.html
an-appraisal-and-some-extensions-1.html,"Bayesian network approaches to IR",bayesian-network-approaches-to-ir-1.html
an-appraisal-and-some-extensions-1.html,"References and further reading",references-and-further-reading-11.html
-,"Language models for information retrieval",language-models-for-information-retrieval-1.html
-,"Language models",language-models-1.html
language-models-1.html,"Finite automata and language models",finite-automata-and-language-models-1.html
language-models-1.html,"Types of language models",types-of-language-models-1.html
language-models-1.html,"Multinomial distributions over words",multinomial-distributions-over-words-1.html
-,"The query likelihood model",the-query-likelihood-model-1.html
the-query-likelihood-model-1.html,"Using query likelihood language models in IR",using-query-likelihood-language-models-in-ir-1.html
the-query-likelihood-model-1.html,"Estimating the query generation probability",estimating-the-query-generation-probability-1.html
the-query-likelihood-model-1.html,"Ponte and Croft's Experiments",ponte-and-crofts-experiments-1.html
the-query-likelihood-model-1.html,"Language modeling versus other approaches in IR",language-modeling-versus-other-approaches-in-ir-1.html
the-query-likelihood-model-1.html,"Extended language modeling approaches",extended-language-modeling-approaches-1.html
the-query-likelihood-model-1.html,"References and further reading",references-and-further-reading-12.html
-,"Text classification and Naive Bayes",text-classification-and-naive-bayes-1.html
text-classification-and-naive-bayes-1.html,"The text classification problem",the-text-classification-problem-1.html
-,"Naive Bayes text classification",naive-bayes-text-classification-1.html
naive-bayes-text-classification-1.html,"Relation to multinomial unigram language model",relation-to-multinomial-unigram-language-model-1.html
naive-bayes-text-classification-1.html,"The Bernoulli model",the-bernoulli-model-1.html
-,"Properties of Naive Bayes",properties-of-naive-bayes-1.html
properties-of-naive-bayes-1.html,"A variant of the multinomial model",a-variant-of-the-multinomial-model-1.html
-,"Feature selection",feature-selection-1.html
feature-selection-1.html,"Mutual
  information",mutual-information-1.html
-," Feature selectionChi2 Feature selection",feature-selectionchi2-feature-selection-1.html
feature-selectionchi2-feature-selection-1.html,"Assessing
     as a feature selection
    methodAssessing chi-square as a feature
    selection method",assessing-as-a-feature-selection-methodassessing-chi-square-as-a-feature-selection-method-1.html
feature-selectionchi2-feature-selection-1.html,"Frequency-based feature
  selection",frequency-based-feature-selection-1.html
feature-selectionchi2-feature-selection-1.html,"Feature selection for multiple classifiers",feature-selection-for-multiple-classifiers-1.html
feature-selectionchi2-feature-selection-1.html,"Comparison of feature selection methods",comparison-of-feature-selection-methods-1.html
feature-selectionchi2-feature-selection-1.html,"Evaluation of text classification",evaluation-of-text-classification-1.html
feature-selectionchi2-feature-selection-1.html,"References and further reading",references-and-further-reading-13.html
-,"Vector space classification",vector-space-classification-1.html
vector-space-classification-1.html,"Document representations and measures of
  relatedness in vector spaces",document-representations-and-measures-of-relatedness-in-vector-spaces-1.html
vector-space-classification-1.html,"Rocchio classification",rocchio-classification-1.html
-,"k nearest neighbor",k-nearest-neighbor-1.html
k-nearest-neighbor-1.html,"Time complexity and optimality of kNN",time-complexity-and-optimality-of-knn-1.html
k-nearest-neighbor-1.html,"Linear versus nonlinear classifiers",linear-versus-nonlinear-classifiers-1.html
k-nearest-neighbor-1.html,"Classification with more than two classes",classification-with-more-than-two-classes-1.html
k-nearest-neighbor-1.html,"The bias-variance tradeoff",the-bias-variance-tradeoff-1.html
k-nearest-neighbor-1.html,"References and further reading",references-and-further-reading-14.html
k-nearest-neighbor-1.html,Exercises,exercises-2.html
-,"Support vector machines and machine learning on documents",support-vector-machines-and-machine-learning-on-documents-1.html
support-vector-machines-and-machine-learning-on-documents-1.html,"Support vector machines: The linearly separable case",support-vector-machines-the-linearly-separable-case-1.html
-,"Extensions to the SVM model",extensions-to-the-svm-model-1.html
extensions-to-the-svm-model-1.html,"Soft margin classification",soft-margin-classification-1.html
extensions-to-the-svm-model-1.html,"Multiclass SVMs",multiclass-svms-1.html
extensions-to-the-svm-model-1.html,"Nonlinear SVMs",nonlinear-svms-1.html
extensions-to-the-svm-model-1.html,"Experimental results",experimental-results-1.html
-,"Issues in the classification of text documents",issues-in-the-classification-of-text-documents-1.html
issues-in-the-classification-of-text-documents-1.html,"Choosing what kind of classifier to use",choosing-what-kind-of-classifier-to-use-1.html
-,"Improving classifier performance",improving-classifier-performance-1.html
improving-classifier-performance-1.html,"Large and difficult category taxonomies",large-and-difficult-category-taxonomies-1.html
improving-classifier-performance-1.html,"Features for text",features-for-text-1.html
improving-classifier-performance-1.html,"Document zones in text classification",document-zones-in-text-classification-1.html
-,"Machine learning methods in ad hoc information retrieval",machine-learning-methods-in-ad-hoc-information-retrieval-1.html
machine-learning-methods-in-ad-hoc-information-retrieval-1.html,"A simple example of machine-learned scoring",a-simple-example-of-machine-learned-scoring-1.html
machine-learning-methods-in-ad-hoc-information-retrieval-1.html,"Result ranking by machine learning",result-ranking-by-machine-learning-1.html
machine-learning-methods-in-ad-hoc-information-retrieval-1.html,"References and further reading",references-and-further-reading-15.html
-,"Flat clustering",flat-clustering-1.html
flat-clustering-1.html,"Clustering in information retrieval",clustering-in-information-retrieval-1.html
-,"Problem statement",problem-statement-1.html
problem-statement-1.html,"Cardinality - the number of clusters",cardinality---the-number-of-clusters-1.html
problem-statement-1.html,"Evaluation of clustering",evaluation-of-clustering-1.html
-,K-means,k-means-1.html
k-means-1.html,"Cluster cardinality in K-means",cluster-cardinality-in-k-means-1.html
k-means-1.html,"Model-based clustering",model-based-clustering-1.html
k-means-1.html,"References and further reading",references-and-further-reading-16.html
k-means-1.html,Exercises,exercises-3.html
-,"Hierarchical clustering",hierarchical-clustering-1.html
hierarchical-clustering-1.html,"Hierarchical agglomerative clustering",hierarchical-agglomerative-clustering-1.html
-,"Single-link and complete-link clustering",single-link-and-complete-link-clustering-1.html
single-link-and-complete-link-clustering-1.html,"Time complexity of HAC",time-complexity-of-hac-1.html
single-link-and-complete-link-clustering-1.html,"Group-average agglomerative clustering",group-average-agglomerative-clustering-1.html
single-link-and-complete-link-clustering-1.html,"Centroid clustering",centroid-clustering-1.html
single-link-and-complete-link-clustering-1.html,"Optimality of HAC",optimality-of-hac-1.html
single-link-and-complete-link-clustering-1.html,"Divisive clustering",divisive-clustering-1.html
single-link-and-complete-link-clustering-1.html,"Cluster labeling",cluster-labeling-1.html
single-link-and-complete-link-clustering-1.html,"Implementation notes",implementation-notes-1.html
single-link-and-complete-link-clustering-1.html,"References and further reading",references-and-further-reading-17.html
single-link-and-complete-link-clustering-1.html,Exercises,exercises-4.html
-,"Matrix decompositions and latent semantic indexing",matrix-decompositions-and-latent-semantic-indexing-1.html
-,"Linear algebra review",linear-algebra-review-1.html
linear-algebra-review-1.html,"Matrix decompositions",matrix-decompositions-1.html
linear-algebra-review-1.html,"Term-document matrices and singular value decompositions",term-document-matrices-and-singular-value-decompositions-1.html
linear-algebra-review-1.html,"Low-rank approximations",low-rank-approximations-1.html
linear-algebra-review-1.html,"Latent semantic indexing",latent-semantic-indexing-1.html
linear-algebra-review-1.html,"References and further reading",references-and-further-reading-18.html
-,"Web search basics",web-search-basics-1.html
web-search-basics-1.html,"Background and history",background-and-history-1.html
-,"Web characteristics",web-characteristics-1.html
web-characteristics-1.html,"The web graph",the-web-graph-1.html
web-characteristics-1.html,Spam,spam-1.html
web-characteristics-1.html,"Advertising as the economic model",advertising-as-the-economic-model-1.html
-,"The search user experience",the-search-user-experience-1.html
the-search-user-experience-1.html,"User query needs",user-query-needs-1.html
the-search-user-experience-1.html,"Index size and estimation",index-size-and-estimation-1.html
the-search-user-experience-1.html,"Near-duplicates and shingling",near-duplicates-and-shingling-1.html
the-search-user-experience-1.html,"References and further reading",references-and-further-reading-19.html
-,"Web crawling and indexes",web-crawling-and-indexes-1.html
-,Overview,overview-1.html
overview-1.html,"Features a crawler must provide",features-a-crawler-must-provide-1.html
overview-1.html,"Features a crawler should provide",features-a-crawler-should-provide-1.html
-,Crawling,crawling-1.html
-,"Crawler architecture",crawler-architecture-1.html
crawler-architecture-1.html,"Distributing the crawler",distributing-the-crawler-1.html
crawler-architecture-1.html,"DNS resolution",dns-resolution-1.html
crawler-architecture-1.html,"The URL frontier",the-url-frontier-1.html
crawler-architecture-1.html,"Distributing indexes",distributing-indexes-1.html
crawler-architecture-1.html,"Connectivity servers",connectivity-servers-1.html
crawler-architecture-1.html,"References and further reading",references-and-further-reading-20.html
-,"Link analysis",link-analysis-1.html
